dataset_name,dataset_version,experiment_fingerprint,topology_id,scenario_id,scenario_index,scenario_group_id,pair_id,source,destination,endpoint_pair_string,ranking_group_id,route_id,local_route_id,route_number,path_string,split,difficulty,hop_count,total_fibre_loss_db,maximum_link_loss_db,bottleneck_link_success_estimate,min_memory_requirement_margin,mean_reservation_occupancy_pre,fidelity_margin_estimate,deadline_margin_ms,route_degraded_link_fraction,route_contains_hotspot,effective_efficiency,coherence_time_s,feasible_label,success_probability,rollout_count,success_count,success_probability_wilson_lower,success_probability_wilson_upper
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_002,2,train_mesh_8node_multipair_01::scenario_002,pair_02,R0,R6,R0 -> R6,train_mesh_8node_multipair_01::scenario_002::pair_02,pair_02_route_01,route_01,1,R0 -> R2 -> R5 -> R6,train,moderate,3,7.434577896181823,3.016247133791675,0.13295134399429023,6,0.0,0.11794803899454798,8.75673400525151,1.0,0,0.7297493561555969,0.08185659029252004,1,1.0,5,5,0.5655175352168251,1.0
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_002,2,train_mesh_8node_multipair_01::scenario_002,pair_02,R0,R6,R0 -> R6,train_mesh_8node_multipair_01::scenario_002::pair_02,pair_02_route_02,route_02,2,R0 -> R1 -> R4 -> R6,train,moderate,3,10.07,3.8400000000000003,0.1099809445754946,6,0.0,0.11794803899454798,8.726354544919982,0.0,0,0.7297493561555969,0.08185659029252004,1,0.6,5,3,0.2307242812760128,0.882379225767352
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_002,2,train_mesh_8node_multipair_01::scenario_002,pair_02,R0,R6,R0 -> R6,train_mesh_8node_multipair_01::scenario_002::pair_02,pair_02_route_03,route_03,3,R0 -> R2 -> R4 -> R6,train,moderate,3,8.766247133791675,3.23,0.1265661137939556,6,0.0,0.11794803899454798,8.726354544919982,0.3333333333333333,0,0.7297493561555969,0.08185659029252004,1,0.8,5,4,0.3755346297625253,0.9637758913675698
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_002,2,train_mesh_8node_multipair_01::scenario_002,pair_02,R0,R6,R0 -> R6,train_mesh_8node_multipair_01::scenario_002::pair_02,pair_02_route_04,route_04,4,R0 -> R1 -> R4 -> R5 -> R6,train,moderate,4,10.784065535451665,3.8400000000000003,0.1099809445754946,6,0.0,0.04250439758829794,8.636762091103972,0.25,0,0.7297493561555969,0.08185659029252004,1,0.8,5,4,0.3755346297625253,0.9637758913675698
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_002,2,train_mesh_8node_multipair_01::scenario_002,pair_03,R1,R7,R1 -> R7,train_mesh_8node_multipair_01::scenario_002::pair_03,pair_03_route_01,route_01,1,R1 -> R3 -> R7,train,moderate,2,8.04,4.199999999999999,0.10123191333552327,2,0.16666666666666666,0.201542101494548,8.954377246078169,0.0,1,0.7297493561555969,0.08185659029252004,1,0.6,5,3,0.2307242812760128,0.882379225767352
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_002,2,train_mesh_8node_multipair_01::scenario_002,pair_03,R1,R7,R1 -> R7,train_mesh_8node_multipair_01::scenario_002::pair_03,pair_03_route_02,route_02,2,R1 -> R4 -> R3 -> R7,train,moderate,3,9.399999999999999,4.199999999999999,0.10123191333552327,2,0.125,0.11794803899454798,8.786762091103972,0.0,1,0.7297493561555969,0.08185659029252004,1,0.6,5,3,0.2307242812760128,0.882379225767352
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_002,2,train_mesh_8node_multipair_01::scenario_002,pair_03,R1,R7,R1 -> R7,train_mesh_8node_multipair_01::scenario_002::pair_03,pair_03_route_03,route_03,3,R1 -> R4 -> R6 -> R7,train,moderate,3,8.833869595968594,3.23,0.1265661137939556,6,0.0,0.11794803899454798,8.726354544919982,0.3333333333333333,0,0.7297493561555969,0.08185659029252004,1,0.8,5,4,0.3755346297625253,0.9637758913675698
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_002,2,train_mesh_8node_multipair_01::scenario_002,pair_03,R1,R7,R1 -> R7,train_mesh_8node_multipair_01::scenario_002::pair_03,pair_03_route_04,route_04,4,R1 -> R4 -> R5 -> R6 -> R7,train,moderate,4,9.54793513142026,3.0,0.13344965191151173,6,0.0,0.04250439758829794,8.636762091103972,0.5,0,0.7297493561555969,0.08185659029252004,1,1.0,5,5,0.5655175352168251,1.0
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_002,2,train_mesh_8node_multipair_01::scenario_002,pair_04,R2,R7,R2 -> R7,train_mesh_8node_multipair_01::scenario_002::pair_04,pair_04_route_01,route_01,1,R2 -> R5 -> R6 -> R7,train,moderate,3,7.022200358358743,2.6038695959685945,0.14619431533851748,6,0.0,0.11794803899454798,8.817616455916843,1.0,0,0.7297493561555969,0.08185659029252004,1,1.0,5,5,0.5655175352168251,1.0
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_002,2,train_mesh_8node_multipair_01::scenario_002,pair_04,R2,R7,R2 -> R7,train_mesh_8node_multipair_01::scenario_002::pair_04,pair_04_route_02,route_02,2,R2 -> R4 -> R3 -> R7,train,moderate,3,8.92,4.199999999999999,0.10123191333552327,2,0.125,0.11794803899454798,8.814377246078168,0.0,1,0.7297493561555969,0.08185659029252004,1,0.6,5,3,0.2307242812760128,0.882379225767352
